time, mass, displacement x, displacement y, displacement, velocity x, velocity y, velocity, acceleration x, acceleration y, acceleration
4.04, 10, 125.442, 156.137, 200.286, 36.09996, 25.29555, 44.08029, 2.5, -6.610001, 7.066973, 
4.08, 10, 126.888, 157.1436, 201.9769, 36.19996, 25.03115, 44.01131, 2.5, -6.610001, 7.066973, 
4.12, 10, 128.338, 158.1395, 203.6633, 36.29996, 24.76675, 43.94404, 2.5, -6.610001, 7.066973, 
4.16, 10, 129.792, 159.1249, 205.3453, 36.39996, 24.50235, 43.87849, 2.5, -6.610001, 7.066973, 
4.2, 10, 131.25, 160.0997, 207.0229, 36.49995, 24.23795, 43.81466, 2.5, -6.610001, 7.066973, 
4.24, 10, 132.712, 161.0639, 208.6961, 36.59995, 23.97355, 43.75257, 2.5, -6.610001, 7.066973, 
4.28, 10, 134.178, 162.0176, 210.365, 36.69995, 23.70915, 43.69222, 2.5, -6.610001, 7.066973, 
4.32, 10, 135.648, 162.9607, 212.0296, 36.79995, 23.44475, 43.63362, 2.5, -6.610001, 7.066973, 
4.36, 10, 137.122, 163.8932, 213.69, 36.89995, 23.18035, 43.57677, 2.5, -6.610001, 7.066973, 
4.4, 10, 138.6, 164.8151, 215.3462, 36.99995, 22.91595, 43.52168, 2.5, -6.610001, 7.066973, 
4.44, 10, 140.082, 165.7264, 216.9982, 37.09995, 22.65155, 43.46836, 2.5, -6.610001, 7.066973, 
4.48, 10, 141.568, 166.6272, 218.6461, 37.19994, 22.38715, 43.41682, 2.5, -6.610001, 7.066973, 
4.52, 10, 143.058, 167.5174, 220.29, 37.29994, 22.12275, 43.36706, 2.5, -6.610001, 7.066973, 
4.56, 10, 144.552, 168.397, 221.9298, 37.39994, 21.85835, 43.31908, 2.5, -6.610001, 7.066973, 
4.6, 10, 146.05, 169.2661, 223.5657, 37.49994, 21.59394, 43.2729, 2.5, -6.610001, 7.066973, 
4.64, 10, 147.552, 170.1246, 225.1976, 37.59994, 21.32954, 43.22852, 2.5, -6.610001, 7.066973, 
4.68, 10, 149.058, 170.9725, 226.8256, 37.69994, 21.06514, 43.18594, 2.5, -6.610001, 7.066973, 
4.72, 10, 150.568, 171.8098, 228.4498, 37.79993, 20.80074, 43.14517, 2.5, -6.610001, 7.066973, 
4.76, 10, 152.082, 172.6365, 230.0702, 37.89993, 20.53634, 43.10622, 2.5, -6.610001, 7.066973, 
4.8, 10, 153.6, 173.4527, 231.6868, 37.99993, 20.27194, 43.06909, 2.5, -6.610001, 7.066973, 
4.84, 10, 155.122, 174.2583, 233.2997, 38.09993, 20.00754, 43.03378, 2.5, -6.610001, 7.066973, 
4.88, 10, 156.648, 175.0533, 234.909, 38.19993, 19.74314, 43.00031, 2.5, -6.610001, 7.066973, 
4.92, 10, 158.178, 175.8377, 236.5146, 38.29993, 19.47874, 42.96866, 2.5, -6.610001, 7.066973, 
4.96, 10, 159.712, 176.6116, 238.1167, 38.39993, 19.21434, 42.93885, 2.5, -6.610001, 7.066973, 
5, 10, 161.25, 177.3749, 239.7152, 38.49992, 18.94994, 42.91089, 2.5, -6.610001, 7.066973, 
5.04, 10, 162.7919, 178.1276, 241.3103, 38.59992, 18.68554, 42.88477, 2.5, -6.610001, 7.066973, 
5.08, 10, 164.3379, 178.8697, 242.9019, 38.69992, 18.42114, 42.8605, 2.5, -6.610001, 7.066973, 
5.12, 10, 165.8879, 179.6013, 244.4901, 38.79992, 18.15674, 42.83808, 2.5, -6.610001, 7.066973, 
5.16, 10, 167.4419, 180.3222, 246.075, 38.89992, 17.89234, 42.81751, 2.5, -6.610001, 7.066973, 
5.2, 10, 168.9999, 181.0326, 247.6566, 38.99992, 17.62794, 42.7988, 2.5, -6.610001, 7.066973, 
5.24, 10, 170.5619, 181.7325, 249.235, 39.09991, 17.36354, 42.78196, 2.5, -6.610001, 7.066973, 
5.28, 10, 172.1279, 182.4217, 250.8101, 39.19991, 17.09914, 42.76697, 2.5, -6.610001, 7.066973, 
5.32, 10, 173.6979, 183.1004, 252.3821, 39.29991, 16.83474, 42.75385, 2.5, -6.610001, 7.066973, 
5.36, 10, 175.2719, 183.7685, 253.951, 39.39991, 16.57034, 42.74259, 2.5, -6.610001, 7.066973, 
5.4, 10, 176.8499, 184.426, 255.5168, 39.49991, 16.30593, 42.7332, 2.5, -6.610001, 7.066973, 
5.44, 10, 178.4319, 185.073, 257.0797, 39.59991, 16.04153, 42.72568, 2.5, -6.610001, 7.066973, 
5.48, 10, 180.0179, 185.7094, 258.6396, 39.69991, 15.77713, 42.72002, 2.5, -6.610001, 7.066973, 
5.52, 10, 181.6079, 186.3351, 260.1965, 39.7999, 15.51273, 42.71624, 2.5, -6.610001, 7.066973, 
5.56, 10, 183.2019, 186.9504, 261.7506, 39.8999, 15.24833, 42.71433, 2.5, -6.610001, 7.066973, 
5.6, 10, 184.7999, 187.555, 263.3019, 39.9999, 14.98393, 42.71429, 2.5, -6.610001, 7.066973, 
5.64, 10, 186.4019, 188.1491, 264.8504, 40.0999, 14.71953, 42.71612, 2.5, -6.610001, 7.066973, 
5.68, 10, 188.0079, 188.7326, 266.3962, 40.1999, 14.45513, 42.71981, 2.5, -6.610001, 7.066973, 
5.72, 10, 189.6179, 189.3055, 267.9394, 40.2999, 14.19073, 42.72538, 2.5, -6.610001, 7.066973, 
5.76, 10, 191.2319, 189.8678, 269.4799, 40.39989, 13.92633, 42.73282, 2.5, -6.610001, 7.066973, 
5.8, 10, 192.8499, 190.4196, 271.0179, 40.49989, 13.66193, 42.74213, 2.5, -6.610001, 7.066973, 
5.84, 10, 194.4719, 190.9608, 272.5534, 40.59989, 13.39753, 42.7533, 2.5, -6.610001, 7.066973, 
5.88, 10, 196.0979, 191.4914, 274.0864, 40.69989, 13.13313, 42.76635, 2.5, -6.610001, 7.066973, 
5.92, 10, 197.7279, 192.0114, 275.6169, 40.79989, 12.86873, 42.78125, 2.5, -6.610001, 7.066973, 
5.96, 10, 199.3619, 192.5209, 277.1452, 40.89989, 12.60433, 42.79801, 2.5, -6.610001, 7.066973, 
6, 10, 200.9999, 193.0198, 278.6711, 40.99989, 12.33993, 42.81664, 2.5, -6.610001, 7.066973, 
6.04, 10, 202.6419, 193.5081, 280.1948, 41.09988, 12.07553, 42.83712, 2.5, -6.610001, 7.066973, 
6.08, 10, 204.2879, 193.9858, 281.7162, 41.19988, 11.81113, 42.85946, 2.5, -6.610001, 7.066973, 
6.12, 10, 205.9379, 194.453, 283.2355, 41.29988, 11.54673, 42.88364, 2.5, -6.610001, 7.066973, 
6.16, 10, 207.5918, 194.9096, 284.7527, 41.39988, 11.28233, 42.90968, 2.5, -6.610001, 7.066973, 
6.2, 10, 209.2498, 195.3556, 286.2679, 41.49988, 11.01793, 42.93756, 2.5, -6.610001, 7.066973, 
6.24, 10, 210.9118, 195.791, 287.781, 41.59988, 10.75352, 42.96729, 2.5, -6.610001, 7.066973, 
